gabT ,,,serC,
rxn (123),rxn (27),,rxn (144),rxn (29)
SHCHD2,SHCHD2,,SHCHD2,SHCHD2
IPPMIb,OHPBAT,,ILETA,KARA1
DMATT,KARA1,,IPPMIb,NNDPR
GRTT,NNDPR,,DMATT,SDPTA
EX_mn2_e,SDPTA,,GRTT,ACOTA
EX_arg__L_e,HIStex,,EX_mn2_e,HSDy
UDCPDPS,ILEtex,,UDCPDPS,GTPCI
TMPPP,Ktex,,TMPPP,HIStex
PPCDC,PHEtex,,PPCDC,ILEtex
EX_glc__D_e,LEUtex,,EX_glc__D_e,Ktex
IPPMIa,MOBDabcpp,,IPPMIa,PHEtex
OHPBAT,MOBDtex,,KARA1,LEUtex
KARA1,NI2tex,,EX_lys__L_e,MOBDabcpp
EX_lys__L_e,MG2tex,,AGPR,MOBDtex
DXPS,Zn2tex,,DXPS,NI2tex
CDPMEK,HISt2rpp,,CDPMEK,MG2tex
MECDPS,COBALT2tex,,MECDPS,Zn2tex
PGAMT,E4PD,,PGAMT,HISt2rpp
GLUR,DPR,,GLUR,COBALT2tex
NNDPR,CU2tex,,NNDPR,DPR
EX_zn2_e,CLtex,,EX_zn2_e,CU2tex
HACD7,MNtex,,HACD7,CLtex
DNMPPA,SHCHF,,DNMPPA,MNtex
HPPK2,GCALDD,,HPPK2,SHCHF
PTPATi,UPP3MT,,PTPATi,GCALDD
DXPRIi,CA2tex,,DXPRIi,UPP3MT
OPHBDC,PYDXtex,,OPHBDC,CA2tex
SDPDS,,,SDPDS,MEOHtex
HBZOPT,,,HBZOPT,PYDXtex
PNTK,,,PNTK,
OCTDPS,,,OCTDPS,
DPCOAK,,,DPCOAK,
DMPPS,,,DMPPS,
IPDPS,,,IPDPS,
DAPE,,,DAPE,
DHDPRy,,,DHDPRy,
SDPTA,,,SDPTA,
ASP1DC,,,ASP1DC,
DHDPS,,,DBTS,
ASAD,,,DHDPS,
DAPDC,,,ASAD,
PDX5PS,,,DAPDC,
PPNCL2,,,PHETA1,
EX_mg2_e,,,ACOTA,
MOHMT,,,PDX5PS,
CHRPL,,,PPNCL2,
ACACT7r,,,DM_amob_c,
EX_ca2_e,,,EX_mg2_e,
GTPCI,,,MOHMT,
HIStex,,,CHRPL,
ILEtex,,,ACACT7r,
Ktex,,,HSDy,
DHFS,,,EX_ca2_e,
EX_ni2_e,,,GTPCI,
PHEtex,,,HIStex,
ASPO3,,,ILEtex,
ASPO5,,,Ktex,
ASPO4,,,DHFS,
ASPO6,,,EX_ni2_e,
EX_cu2_e,,,PHEtex,
LEUtex,,,EX_meoh_e,
DHPS2,,,ASPO3,
QULNS,,,ASPO5,
EX_cobalt2_e,,,ASPO4,
MOBDabcpp,,,ASPO6,
MOBDtex,,,EX_cu2_e,
NI2tex,,,LEUtex,
DNTPPA,,,DHPS2,
MG2tex,,,QULNS,
Zn2tex,,,EX_cobalt2_e,
HISt2rpp,,,MOBDabcpp,
COBALT2tex,,,MOBDtex,
MEPCT,,,NI2tex,
THDPS,,,DNTPPA,
EX_mobd_e,,,MG2tex,
E4PD,,,Zn2tex,
DPR,,,HISt2rpp,
EX_k_e,,,COBALT2tex,
CU2tex,,,MEPCT,
CLtex,,,THDPS,
MNtex,,,EX_mobd_e,
SHCHF,,,DPR,
PANTS,,,AMAOTr,
ECOAH7,,,EX_k_e,
GCALDD,,,CU2tex,
IPDDI,,,CLtex,
UPP3MT,,,MNtex,
EX_cl_e,,,SHCHF,
PDX5POi,,,PANTS,
PDX5PO2,,,ECOAH7,
PERD,,,GCALDD,
K2L4Aabcpp,,,IPDDI,
AMPMS2,,,UPP3MT,
CA2tex,,,EX_cl_e,
EX_o2_e,,,PDX5POi,
CAt6pp,,,PDX5PO2,
OPHHX3,,,K2L4Aabcpp,
EX_LalaDgluMdapDala_e,,,AMPMS2,
EX_LalaDgluMdap_e,,,CA2tex,
CLt3_2pp,,,EX_o2_e,
MG2t3_2pp,,,CAt6pp,
K2L4Aabctex,,,OPHHX3,
SCYSDS,,,EX_LalaDgluMdapDala_e,
S2FE2SS,,,EX_LalaDgluMdap_e,
S4FE4SR,,,CLt3_2pp,
ICYSDS,,,MALCOAMT,
MECDPDH5,,,MG2t3_2pp,
I4FE4SR,,,OGMEACPS,
I2FE2SS,,,OGMEACPR,
I2FE2ST,,,OPMEACPS,
I2FE2SS2,,,K2L4Aabctex,
I4FE4ST,,,OPMEACPD,
S4FE4ST,,,EPMEACPR,
S2FE2SS2,,,AOXSr2,
PYDXtex,,,MEOHtrpp,
PYDXtpp,,,SCYSDS,
EX_dxylnt_e,,,S2FE2SS,
DHNPA2r,,,S4FE4SR,
CLtipp,,,OGMEACPD,
THZPSN3,,,EGMEACPR,
4HTHRK,,,OPMEACPR,
BIOMASS_Ec_iML1515_core_75p37M,,,PMEACPE,
OPHHXy,,,MEOHtex,
,,,ICYSDS,
,,,MECDPDH5,
,,,I4FE4SR,
,,,S2FE2ST,
,,,I2FE2SS,
,,,I2FE2ST,
,,,I2FE2SS2,
,,,I4FE4ST,
,,,S4FE4ST,
,,,S2FE2SS2,
,,,BTS5,
,,,PYDXtex,
,,,PYDXtpp,
,,,EX_dxylnt_e,
,,,DHNPA2r,
,,,CLtipp,
,,,I2FE2SR,
,,,THZPSN3,
,,,4HTHRK,
,,,BIOMASS_Ec_iML1515_core_75p37M,
,,,OPHHXy,
