,media_list,media_list_ub
1,1425,100
2,1982,100
3,181,13.88
4,298,0.438212095
10,109,5.987093154
11,110,3.861021814
12,111,9.198797896
13,1734,0.582920792
14,122,25.29721278
15,218,4.372836218
16,1534,3.059987113
17,85,7.188490854
18,90,11.3816311
19,220,8.927359781
20,50,2.844571046
21,1490,5.016101695
22,99,14.65134666
23,228,8.760323501
24,1491,6.011586902
25,230,1.002595495
26,116,4.664293598
27,189,9.230315969
28,701,0.292180249
29,41,1.654392796
30,1536,0.76558354
31,841,1.422323393
32,1357,0.345762477
33,165,0.844607808
34,87,0.844607808
35,1562,0.787287949
36,1358,0.232987152
37,1599,0.13753868
38,2683,0.256411418
39,1810,0.988128886
53,36,0.693466536
40,61,0.693466536
43,1906,0.457631645
44,86,0.333778756
45,711,0.102203043
47,338,0.312846683
48,1572,100
49,724,100
50,971,100
51,975,0.1
52,1486,100
